english,japanese,detail,sample
loose,ゆるい、固定されていない,「ゆるい」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The sign gave a loose warning."
steal,～を盗む,対象に働きかける動詞。「盗む」動作から抽象的用法にも広がる。 ,"The training video shows how to steal it safely."
shade,陰,光が遮られた陰が主な意味。色合い・微妙な差にも広がる。 ,"The report connected the shade to the case."
logical,論理的な,「論理的な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The teacher chose a logical example."
regularly,規則正しく,「規則正しく」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The bus regularly stops at this corner."
bury,～を埋葬する,対象に働きかける動詞。「埋葬する」動作から抽象的用法にも広がる。 ,"They decided to bury it before noon."
childhood,子ども時代,「子ども時代」を指す基本語。物・考え・場面を具体的に表す。 ,"The policy raised questions about childhood."
fiction,作り話,動作・性質を名詞化した語。「作り話」という概念や結果を表す。 ,"The committee discussed fiction for an hour."
heavily,重く,「重く」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The boat drifted heavily across the lake."
confuse,～を混同する,対象に働きかける動詞。「混同する」動作から抽象的用法にも広がる。 ,"The guide showed us how to confuse it."
portrait,肖像画,「肖像画」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the portrait near the entrance."
prediction,予測、予言,動作・性質を名詞化した語。「予測」という概念や結果を表す。 ,"The lecture explored prediction through real cases."
castle,城,「城」という場所・範囲が主な意味。活動や所属の場面で使う。 ,"A photo showed the castle beside the road."
imagination,想像,動作・性質を名詞化した語。「想像」という概念や結果を表す。 ,"The debate revealed imagination after the vote."
shout,叫ぶ,「叫ぶ」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The report connected the shout to the case."
freeze,凍る,液体が凍る感覚。人や画面が固まって動かない意味にも使う。 ,"The water can freeze."
gallery,画廊、ギャラリー,「画廊」という場所・範囲が主な意味。活動や所属の場面で使う。 ,"The guide mentioned the gallery near the entrance."
lake,湖,「湖」という場所・範囲が主な意味。活動や所属の場面で使う。 ,"A diagram showed the lake clearly."
creature,生物,「生物」を指す基本語。物・考え・場面を具体的に表す。 ,"The team checked the creature before leaving."
enormous,巨大な,「巨大な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The room had an enormous feeling."
classic,古典的な、定番の,「古典的な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The class found a classic pattern in the story."
advanced,上級の、進んだ,「上級の」を指す基本語。物・考え・場面を具体的に表す。 ,"The checklist included the advanced at the end."
stomach,胃,体の一部・状態としての「胃」が主な意味。比喩的な表現にも広がる。 ,"The article described the stomach with an example."
fortune,運,運や大金が主な意味。よい巡り合わせ・財産の意味で使う。 ,"The teacher asked about the fortune after class."
lend,～を貸す,対象に働きかける動詞。「貸す」動作から抽象的用法にも広がる。 ,"Can you lend me a pen?"
pride,自尊心,「自尊心」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the pride near the entrance."
somewhere,どこかに,「どこかに」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The machine ran somewhere after the repair."
dam,ダム,「ダム」を指す基本語。物・考え・場面を具体的に表す。 ,"The note explained the dam in plain words."
precise,正確な,「正確な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"A precise color filled the evening sky."
disadvantage,不利、不利益,「不利」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The room had a disadvantage feeling."
instant,一瞬の間,「一瞬の間」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The sign gave an instant warning."
friendship,友情,動作・性質を名詞化した語。「友情」という概念や結果を表す。 ,"The hotel offered a friendship view."
blame,～を非難する,失敗や責任を相手に向ける感覚。責める・責任を負わせる意味。 ,"Please blame it after checking the instructions."
nobody,誰も～ない,「誰もない」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"Nobody arrived early."
pleasant,感じのよい、楽しい,「感じのよい」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The editor marked a pleasant phrase."
violent,暴力的な、激しい,「暴力的な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The committee made a violent decision."
convenient,便利な,「便利な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The teacher chose a convenient example."
sake,～のため,「ため」を指す基本語。物・考え・場面を具体的に表す。 ,"We did it for his sake."
automatically,自動的に,「自動的に」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The boat drifted automatically across the lake."
invention,発明,動作・性質を名詞化した語。「発明」という概念や結果を表す。 ,"The speaker defined invention with a simple example."
injure,～を傷つける,対象に働きかける動詞。「傷つける」動作から抽象的用法にも広がる。 ,"They decided to injure it before noon."
wooden,木製の,「木製の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"A wooden wind moved through the trees."
illegal,不法の,「不法の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The act was illegal."
beer,ビール,食べ物・飲み物としての「ビール」が主な意味。料理や食事場面で使う。 ,"The kitchen smelled of the beer at noon."
talent,才能,「才能」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The coach praised a talent effort."
happiness,幸福,動作・性質を名詞化した語。「幸福」という概念や結果を表す。 ,"A short story illustrated happiness clearly."
anywhere,どこへでも、どこかへ,「どこへでも」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The machine ran anywhere after the repair."
campus,構内,「構内」という場所・範囲が主な意味。活動や所属の場面で使う。 ,"The teacher asked about the campus after class."
ray,光線,「光線」を指す基本語。物・考え・場面を具体的に表す。 ,"A photo showed the ray beside the road."
verb,動詞,「動詞」を指す基本語。物・考え・場面を具体的に表す。 ,"The verb was important in the discussion."
mystery,謎、神秘,「謎」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the mystery near the entrance."
comfortable,気持ちのよい,「気持ちのよい」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"She felt comfortable."
lover,愛好家,「愛好家」という人・役割が主な意味。職業・立場・関係を表す。 ,"The invoice listed the lover clearly."
unnecessary,必要のない,「必要のない」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The report noted an unnecessary pattern."
cheek,頬,体の一部・状態としての「頬」が主な意味。比喩的な表現にも広がる。 ,"The team checked the cheek before leaving."
stranger,見知らぬ人,「見知らぬ人」という人・役割が主な意味。職業・立場・関係を表す。 ,"The invoice listed the stranger clearly."
impress,～を感銘させる,対象に働きかける動詞。「感銘させる」動作から抽象的用法にも広がる。 ,"The training video shows how to impress it safely."
tap,～を軽くたたく,対象に働きかける動詞。「軽くたたく」動作から抽象的用法にも広がる。 ,"Please tap it after checking the instructions."
disturb,～をかき乱す,対象に働きかける動詞。「かき乱す」動作から抽象的用法にも広がる。 ,"Workers learned to disturb it during practice."
rush,急ぐ、突進する,「急ぐ」という動きや変化を表す語。人・物の状態変化にも使う。 ,"Commuters rush to catch the last train."
mood,気分,「気分」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the mood near the entrance."
knock,～をたたく,対象に働きかける動詞。「たたく」動作から抽象的用法にも広がる。 ,"Please knock on the door."
shine,光る,「光る」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The report connected the shine to the case."
forbid,～に～を禁じる,対象に働きかける動詞。「禁じる」動作から抽象的用法にも広がる。 ,"The law can forbid smoking here."
elderly,かなり年配の,「かなり年配の」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The elderly man crossed the street slowly."
bench,ベンチ,「ベンチ」という場所・範囲が主な意味。活動や所属の場面で使う。 ,"A diagram showed the bench clearly."
alarm,警報,「警報」を指す基本語。物・考え・場面を具体的に表す。 ,"The team checked the alarm before leaving."
plenty,たくさん,「たくさん」を指す基本語。物・考え・場面を具体的に表す。 ,"The visitor noticed the plenty near the doorway."
magic,魔法,不思議な力が主な意味。魅力や特別な効果を表す比喩にも使う。 ,"The report noted a magic pattern."
printer,プリンター、印刷機,「プリンター」を指す基本語。物・考え・場面を具体的に表す。 ,"The checklist included the printer at the end."
roughly,おおよそ、乱暴に,「おおよそ」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The door closed roughly behind us."
flour,小麦粉,食べ物・飲み物としての「小麦粉」が主な意味。料理や食事場面で使う。 ,"The chef added the flour to the bowl."
entertainment,娯楽,「娯楽」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"Her essay connected entertainment with daily life."
correctly,正しく,「正しく」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The singer paused correctly before the chorus."
regret,～を後悔する,対象に働きかける動詞。「後悔する」動作から抽象的用法にも広がる。 ,"The guide showed us how to regret it."
adventure,冒険,「冒険」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the adventure near the entrance."
forever,永久に,「永久に」を指す基本語。物・考え・場面を具体的に表す。 ,"The team worked forever through the night."
advertisement,広告,「広告」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The committee discussed advertisement for an hour."
relax,～をゆるめる,対象に働きかける動詞。「ゆるめる」動作から抽象的用法にも広がる。 ,"Children sometimes relax near the fountain."
fence,囲い,動作・性質を名詞化した語。「囲い」という概念や結果を表す。 ,"The speaker defined fence with a simple example."
planet,惑星,「惑星」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the planet near the entrance."
intelligent,知能の高い、賢い,「知能の高い」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The team chose an intelligent route."
beg,～を懇願する,対象に働きかける動詞。「懇願する」動作から抽象的用法にも広がる。 ,"They beg for help."
salt,塩,食べ物・飲み物としての「塩」が主な意味。料理や食事場面で使う。 ,"The kitchen smelled of the salt at noon."
overseas,海を越えて,「海を越えて」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The machine ran overseas after the repair."
bite,～をかむ,対象に働きかける動詞。「かむ」動作から抽象的用法にも広がる。 ,"They decided to bite it before noon."
rope,縄,「縄」を指す基本語。物・考え・場面を具体的に表す。 ,"The report connected the rope to the case."
anxious,心配している、不安な,「心配している」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The editor marked an anxious phrase."
painter,画家,「画家」という人・役割が主な意味。職業・立場・関係を表す。 ,"The invoice listed the painter clearly."
episode,エピソード、1回分,「エピソード」を指す基本語。物・考え・場面を具体的に表す。 ,"The calendar marked the episode in blue."
brake,ブレーキ,動きを止める装置が主な意味。勢いを抑える比喩にも使う。 ,"The team checked the brake before leaving."
surprising,驚くべき,動作を名詞・形容詞化した語。「驚くべき」場面や状態を表す。 ,"The team chose a surprising route."
fool,ばか者、愚か者,「ばか者」という人・役割が主な意味。職業・立場・関係を表す。 ,"A client asked about the fool after lunch."
scream,悲鳴をあげる,「悲鳴をあげる」という動きや変化を表す語。人・物の状態変化にも使う。 ,"A moment of scream passed through the room."
fancy,空想,空想や好みが主な意味。凝った・高級なという意味にも広がる。 ,"The article described the fancy with an example."
somebody,だれか,「だれか」を指す基本語。物・考え・場面を具体的に表す。 ,"Somebody arrived early."
harmony,調和,「調和」を指す基本語。物・考え・場面を具体的に表す。 ,"A photo showed the harmony beside the road."
unfair,不公平な,「不公平な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The committee made an unfair decision."
uncertain,確信が持てない,「確信が持てない」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The report noted an uncertain pattern."
physically,身体的に、物理的に,「身体的に」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The singer paused physically before the chorus."
boil,沸く,「沸く」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The guide mentioned the boil near the entrance."
gentle,優しい,「優しい」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The team chose a gentle route."
fare,料金,「料金」を指す基本語。物・考え・場面を具体的に表す。 ,"The team checked the fare before leaving."
badly,悪く,「悪く」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The singer paused badly before the chorus."
brilliant,すばらしい、輝く,「すばらしい」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The coach praised a brilliant effort."
wedding,結婚式,動作を名詞・形容詞化した語。「結婚式」場面や状態を表す。 ,"The coach praised a wedding effort."
quietly,静かに,「静かに」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The machine ran quietly after the repair."
stair,段,「段」を指す基本語。物・考え・場面を具体的に表す。 ,"The teacher asked about the stair after class."
envelope,封筒,「封筒」を指す基本語。物・考え・場面を具体的に表す。 ,"A photo showed the envelope beside the road."
menu,メニュー,「メニュー」を指す基本語。物・考え・場面を具体的に表す。 ,"The manual listed the menu under tools."
romantic,ロマンチックな,「ロマンチックな」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The committee made a romantic decision."
rhythm,リズム,「リズム」を指す基本語。物・考え・場面を具体的に表す。 ,"The note explained the rhythm in plain words."
pretend,～のふりをする,「ふりをする」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The guide mentioned the pretend near the entrance."
swallow,ツバメ；～を飲み込む,ツバメの名詞と「飲み込む」動作の両方。丸ごと受け入れる比喩も。 ,"Experts can swallow the sauce carefully."
slice,薄切り、一枚,「薄切り」を指す基本語。物・考え・場面を具体的に表す。 ,"The team checked the slice before leaving."
grateful,感謝している,受けた好意に感謝している状態。人への気持ちを表す。 ,"The letter was full of grateful."
fork,フォーク,食器のフォークが主な意味。道や川の分かれ目にも使う。 ,"A field note described the fork after the storm."
honey,はちみつ,食べ物・飲み物としての「はちみつ」が主な意味。料理や食事場面で使う。 ,"The menu listed the honey under lunch specials."
boss,ボス,「ボス」という人・役割が主な意味。職業・立場・関係を表す。 ,"The invoice listed the boss clearly."
peaceful,平和な,「平和な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The coach praised a peaceful effort."
treasure,宝物,「宝物」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the treasure near the entrance."
earthquake,地震,「地震」を指す基本語。物・考え・場面を具体的に表す。 ,"The manual listed the earthquake under tools."
diary,日記,「日記」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The report noted a diary pattern."
joke,冗談,「冗談」を指す基本語。物・考え・場面を具体的に表す。 ,"The note explained the joke in plain words."
elevator,エレベーター,「エレベーター」を指す基本語。物・考え・場面を具体的に表す。 ,"The guide mentioned the elevator near the entrance."
pronounce,～を発音する,対象に働きかける動詞。「発音する」動作から抽象的用法にも広がる。 ,"They decided to pronounce it before noon."
harvest,収穫,作物の収穫が主な意味。努力の成果を得る意味にも広がる。 ,"The team checked the harvest before leaving."
junior,年下の、下級の,「年下の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The committee made a junior decision."
blanket,毛布,「毛布」を指す基本語。物・考え・場面を具体的に表す。 ,"The presenter pointed to the blanket on the slide."
basically,基本的に,「基本的に」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"Basically, the rule protects beginners."
pepper,こしょう,こしょうが主な意味。細かく散らす・振りかける動きにも使う。 ,"The article described the pepper with an example."
script,台本、文字,「台本」を指す基本語。物・考え・場面を具体的に表す。 ,"The teacher asked about the script after class."
basket,かご,「かご」を指す基本語。物・考え・場面を具体的に表す。 ,"A photo showed the basket beside the road."
bloom,花が咲く；花,「花が咲く」を指す基本語。物・考え・場面を具体的に表す。 ,"The manual listed the bloom under tools."
ancestor,先祖,「先祖」という人・役割が主な意味。職業・立場・関係を表す。 ,"A client asked about the ancestor after lunch."
worldwide,世界中の,「世界中の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The coach praised a worldwide effort."
differently,異なって,「異なって」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The machine ran differently after the repair."
mad,怒った、気が狂った,「怒った」を指す基本語。物・考え・場面を具体的に表す。 ,"A diagram showed the mad clearly."
wander,あてもなく歩き回る,「あてもなく歩き回る」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The team checked the wander before leaving."
bother,～を悩ます,対象に働きかける動詞。「悩ます」動作から抽象的用法にも広がる。 ,"The guide showed us how to bother it."
duck,アヒル,アヒルが主な意味。身をかがめて避ける動作としても使う。 ,"The presenter pointed to the duck on the slide."
upset,動揺した；～をひっくり返す,「動揺した」という動きや変化を表す語。人・物の状態変化にも使う。「ひっくり返す」の意味もある。 ,"The checklist included the upset at the end."
invent,～を発明する,対象に働きかける動詞。「発明する」動作から抽象的用法にも広がる。 ,"Please invent it after checking the instructions."
romance,恋愛、ロマンス,動作・性質を名詞化した語。「恋愛」という概念や結果を表す。 ,"The teacher asked about the romance after class."
toe,足の指,体の一部・状態としての「足の指」が主な意味。比喩的な表現にも広がる。 ,"A photo showed the toe beside the road."
trick,いたずら、手品,「いたずら」を指す基本語。物・考え・場面を具体的に表す。 ,"The trick arrived early for the workshop."
curse,～をのろう,のろい・悪態が主な意味。不運の原因を表す名詞にもなる。 ,"The training video shows how to curse it safely."
horror,恐怖,「恐怖」を指す基本語。物・考え・場面を具体的に表す。 ,"The note explained the horror in plain words."
admire,～に感嘆する,対象に働きかける動詞。「感嘆する」動作から抽象的用法にも広がる。 ,"Workers learned to admire it during practice."
textbook,教科書,「教科書」を指す基本語。物・考え・場面を具体的に表す。 ,"A diagram showed the textbook clearly."
soap,石けん,「石けん」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the soap near the entrance."
globe,地球、球体,「地球」を指す基本語。物・考え・場面を具体的に表す。 ,"The globe showed every continent."
ambition,野心、大望,動作・性質を名詞化した語。「野心」という概念や結果を表す。 ,"Her essay connected ambition with daily life."
inspiration,ひらめき、刺激,動作・性質を名詞化した語。「ひらめき」という概念や結果を表す。 ,"The debate revealed inspiration after the vote."
confident,自信のある,自分を信じている状態。確信がある態度にも使う。 ,"The article described the confident with an example."
bonus,ボーナス,「ボーナス」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the bonus near the entrance."
statue,像,「像」を指す基本語。物・考え・場面を具体的に表す。 ,"A photo showed the statue beside the road."
frighten,～をひどく驚かせる,対象に働きかける動詞。「ひどく驚かせる」動作から抽象的用法にも広がる。 ,"The crew will frighten the contract after the inspection."
anniversary,記念日,「記念日」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The report noted an anniversary pattern."
psychologist,心理学者,「心理学者」という人・役割が主な意味。職業・立場・関係を表す。 ,"The psychologist arrived early for the workshop."
medal,メダル,「メダル」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The guide suggested a medal method."
quit,～をやめる,続けていたことをやめる感覚。仕事を辞める場面にも使う。 ,"The training video shows how to quit it safely."
winner,勝利者,「勝利者」という人・役割が主な意味。職業・立場・関係を表す。 ,"The manager reviewed the winner before the meeting."
photography,写真撮影、写真術,「写真撮影」を指す基本語。物・考え・場面を具体的に表す。 ,"The visitor noticed the photography near the doorway."
leisure,余暇,「余暇」を指す基本語。物・考え・場面を具体的に表す。 ,"The presenter pointed to the leisure on the slide."
noon,正午,「正午」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the noon near the entrance."
sweat,汗；汗をかく,「汗」という動きや変化を表す語。人・物の状態変化にも使う。「汗をかく」の意味もある。 ,"The chef added the sweat to the bowl."
fry,～を油で揚げる,対象に働きかける動詞。「油で揚げる」動作から抽象的用法にも広がる。 ,"Please fry it after checking the instructions."
learner,学習者,「学習者」という人・役割が主な意味。職業・立場・関係を表す。 ,"The learner arrived early for the workshop."
disagree,一致しない,「一致しない」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The room had a disagree feeling."
vocabulary,語彙,「語彙」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The committee made a vocabulary decision."
pity,哀れみ、残念なこと,動作・性質を名詞化した語。「哀れみ」という概念や結果を表す。 ,"The lecture explored pity through real cases."
crazy,正気でない、夢中の,「正気でない」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The report noted a crazy pattern."
