english,japanese,detail,sample
benign,良性の；穏やかな,「良性の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「穏やかな」の意味もある。 ,"The guide suggested a benign method."
bureaucratic,官僚の,「官僚の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The team chose a bureaucratic route."
indefinitely,漠然と,「漠然と」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The team worked indefinitely through the night."
reassure,～を安心させる,「安心させる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to reassure it during practice."
agreeable,気持ちのよい,「気持ちのよい」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The editor marked an agreeable phrase."
divergence,分岐,「分岐」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"A short story illustrated divergence clearly."
mingle,混ざる；～を混ぜる,「混ざる」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「混ぜる」の意味もある。 ,"The article described the mingle with an example."
cessation,中止,「中止」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The committee discussed cessation for an hour."
profoundly,深く,「深く」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The boat drifted profoundly across the lake."
harassment,嫌がらせ,「嫌がらせ」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The speaker defined harassment with a simple example."
temperament,気質,「気質」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The survey tracked temperament over several years."
lust,強い欲望,「強い欲望」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The note explained the lust in plain words."
detrimental,有害な,「有害な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted a detrimental pattern."
staple,主要品；ホチキス針,「主要品」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「ホチキス針」の意味もある。 ,"A diagram showed the staple clearly."
bliss,無上の幸福,「無上の幸福」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The team checked the bliss before leaving."
stray,それて道に迷う,「それて道に迷う」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The visitor noticed the stray near the doorway."
vicious,悪意のある,「悪意のある」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a vicious example."
perpetuate,～を永続させる,「永続させる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Please perpetuate it after checking the instructions."
anthropologist,人類学者,「人類学者」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The anthropologist arrived early for the workshop."
slack,緩んだ,「緩んだ」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The teacher asked about the slack after class."
implicate,～を巻き込む,「巻き込む」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"They decided to implicate it before noon."
ornamental,装飾の,「装飾の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The team chose an ornamental route."
quarry,採石場；獲物,「採石場」を表す語という具体的対象。人・物・場所などを直接指す語。「獲物」の意味もある。 ,"The quarry opened early for visitors."
abound,たくさんいる,「たくさんいる」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The note explained the abound in plain words."
oversee,～を監督する,「監督する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to oversee it."
niche,適所；すき間市場,「ぴったり収まる場所」を表す語。生態・市場の専門領域にも使う。意味は「適所」・「すき間市場」などに分かれる。 ,"The niche opened early for visitors."
collaborate,共同して働く,「共同して働く」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The team checked the collaborate before leaving."
resin,樹脂,「樹脂」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The visitor noticed the resin near the doorway."
mythology,神話,「神話」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The presenter pointed to the mythology on the slide."
batter,衣・生地；打者,「打つ／打たれたもの」を表す語。料理の衣・打者も表す。「衣・生地」の意味もある。 ,"The batter arrived early for the workshop."
torment,～を苦しめる,「苦しめる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The survey tracked torment over several years."
individuality,個性,「個性」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The lecture explored individuality through real cases."
alienate,～を遠ざける,「遠ざける」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Please alienate it after checking the instructions."
reap,～を得る；刈り取る,「得る」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「刈り取る」の意味もある。 ,"Workers learned to reap it during practice."
apprentice,徒弟,「徒弟」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report connected the apprentice to the case."
fragmentation,ばらばらになること,「ばらばらになること」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"A short story illustrated fragmentation clearly."
swap,交換する；交換,「交換する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide mentioned the swap near the entrance."
occupant,居住者,「居住者」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The occupant arrived early for the meeting."
flicker,ゆらめく,「ゆらめく」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The team checked the flicker before leaving."
credible,信用できる,「信用できる」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The room had a credible feeling."
meaningless,無意味な,「無意味な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made a meaningless decision."
startling,驚くべき,「驚くべき」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The artist captured the startling in the sketch."
expedite,～の進行を早める,「進行を早める」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"We can expedite the order."
protagonist,主役,「主役」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The teacher asked about the protagonist after class."
relinquish,～を捨てる,「捨てる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to relinquish it."
justly,正しく,「正しく」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The guard moved justly along the hallway."
elaboration,念入りに作り上げること,「念入りに作り上げること」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The policy raised questions about elaboration."
rendering,描写；翻訳；演奏,「描写」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「翻訳」・「演奏」の意味もある。 ,"The editor marked a rendering phrase."
intuitive,直観の,「直観の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The app is intuitive."
relapse,再発する；逆戻り,「再発する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「逆戻り」の意味もある。 ,"A diagram showed the relapse clearly."
divergent,分岐する,「分岐する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The calendar marked the divergent in blue."
radiator,ラジエーター,「ラジエーター」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The visitor noticed the radiator near the doorway."
amplification,増幅；詳述,「増幅」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「詳述」の意味もある。 ,"Her essay connected amplification with daily life."
forensic,法医学の；法廷の,「法医学の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「法廷の」の意味もある。 ,"The teacher gave a forensic example."
saloon,酒場；客室,「酒場」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「客室」の意味もある。 ,"The saloon opened early for visitors."
bribe,わいろ,「わいろ」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The teacher asked about the bribe after class."
ingenious,独創的な；巧妙な,「独創的な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「巧妙な」の意味もある。 ,"The teacher chose an ingenious example."
eccentric,風変わりな,「風変わりな」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"He wore eccentric clothes."
sentimental,感情的な,「感情的な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"She felt sentimental."
crumble,崩れる；粉々にする,「崩れる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「粉々にする」の意味もある。 ,"The note explained the crumble in plain words."
fissure,裂け目,「裂け目」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The librarian set the fissure near the entrance."
wrench,～をぐいとねじる,「ぐいとねじる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The training video shows how to wrench it safely."
reluctantly,いやいやながら,「いやいやながら」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The team worked reluctantly through the night."
formality,形式的であること,「形式的であること」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The debate revealed formality after the vote."
conscientious,良心的な,「良心的な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The coach praised a conscientious effort."
fatality,死亡者；致命的事故,「死亡者」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「致命的事故」の意味もある。 ,"The fatality arrived early for the workshop."
compulsion,強制,「強制」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The policy raised questions about compulsion."
reminiscent,思い出させる,「思い出させる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The teacher asked about the reminiscent after class."
clench,～をくいしばる,「くいしばる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to clench it during practice."
sprout,芽,「芽」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The manual listed the sprout under tools."
victorious,勝利を得た,「勝利を得た」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made a victorious decision."
flick,軽い一打ち,「軽い一打ち」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The note explained the flick in plain words."
knowledgeable,博識の,「博識の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted a knowledgeable pattern."
gypsy,ロマ；移動生活者,「ロマ」を表す語という具体的対象。人・物・場所などを直接指す語。「移動生活者」の意味もある。 ,"The gypsy arrived early for the workshop."
poise,落ち着き；釣り合いを保つ,「落ち着き」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「釣り合いを保つ」の意味もある。 ,"The team checked the poise before leaving."
ingenuity,発明の才能,「発明の才能」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"A short story illustrated ingenuity clearly."
harass,～を悩ませる,「悩ませる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The training video shows how to harass it safely."
dissection,解剖,「解剖」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The committee discussed dissection for an hour."
tedious,退屈な,「退屈な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"A tedious color filled the evening sky."
engross,～の注意をすっかり引き付ける,「注意をすっかり引き付ける」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The novel can engross the reader."
detriment,損害,「損害」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The survey tracked detriment over several years."
readable,読みやすい,「読みやすい」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A readable question started the debate."
snail,カタツムリ,「カタツムリ」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The report connected the snail to the case."
midwife,助産師,「助産師」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The midwife arrived early for the workshop."
impediment,障害,「障害」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The study measured impediment across three groups."
depiction,描写,「描写」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"A short story illustrated depiction clearly."
flatter,～におせじをいう,「おせじをいう」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The training video shows how to flatter it safely."
realist,現実主義者,「現実主義者」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The realist arrived early for the workshop."
tangle,～をもつれさせる,「もつれさせる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to tangle it during practice."
symptomatic,症状の；兆候となる,「症状の」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「兆候となる」の意味もある。 ,"The room had a symptomatic feeling."
turmoil,騒ぎ,「騒ぎ」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The article described the turmoil with an example."
dissect,～を解剖する,「解剖する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The training video shows how to dissect it safely."
diverge,分岐する,「分岐する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The calendar marked the diverge in blue."
sponsorship,後援；スポンサー支援,「後援」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「スポンサー支援」の意味もある。 ,"The debate revealed sponsorship after the vote."
spacious,広い,「広い」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The coach praised a spacious effort."
confide,～を打ち明ける,「打ち明ける」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"They decided to confide it before noon."
contextual,文脈上の,「文脈上の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a contextual example."
elusive,捉えにくい；逃げる,「捉えにくい」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「逃げる」の意味もある。 ,"The committee made an elusive decision."
versatile,多才の,「多才の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a versatile example."
portrayal,描写,「描写」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The visitor noticed the portrayal near the doorway."
beforehand,前もって,「前もって」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The presenter pointed to the beforehand on the slide."
ventilate,～を換気する,「換気する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Open a window to ventilate the room."
repel,～を撃退する,「撃退する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Please repel it after checking the instructions."
immensely,広大に,「広大に」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The door closed immensely behind us."
twitch,ぴくんと動く,「ぴくんと動く」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A photo showed the twitch beside the road."
impersonal,特定の人に関係のない,「特定の人に関係のない」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The guide suggested an impersonal method."
amply,十分に,「十分に」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The machine ran amply after the repair."
collaborator,協力者；共謀者,「協力者」を表す語という具体的対象。人・物・場所などを直接指す語。「共謀者」の意味もある。 ,"The collaborator arrived early for the workshop."
dispensary,診療所；調剤室,「診療所」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「調剤室」の意味もある。 ,"A dispensary color filled the evening sky."
peacock,雄クジャク,「雄クジャク」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"A diagram showed the peacock clearly."
demolition,取り壊し；破壊,「取り壊し」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「破壊」の意味もある。 ,"The survey tracked demolition over several years."
psyche,精神；心,「精神」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「心」の意味もある。 ,"The visitor noticed the psyche near the doorway."
wary,注意深い,「注意深い」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report noted a wary pattern."
renown,名声,「名声」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The checklist included the renown at the end."
persecute,～を迫害する,「迫害する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to persecute it."
recharge,～に再充電する,「再充電する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"They decided to recharge it before noon."
dramatist,劇作家,「劇作家」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The dramatist arrived early for the workshop."
phenomenal,驚異的な；現象の,「現象として目立つ」を表す語。現代では「驚異的な」が主。「現象の」の意味もある。 ,"The committee made a phenomenal decision."
stiffen,～を堅くする,「堅くする」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to stiffen it during practice."
revealing,示唆に富む；露出した,「示唆に富む」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「露出した」の意味もある。 ,"The room had a revealing feeling."
paternal,父の,「父の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The guide suggested a paternal method."
utensil,用具,「用具」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A diagram showed the utensil clearly."
instinctively,本能的に,「本能的に」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The team worked instinctively through the night."
stylistic,文体の,「文体の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"A stylistic color filled the evening sky."
blister,水ぶくれ,「水ぶくれ」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The ranger marked the blister on the map."
rumble,ゴロゴロ鳴る,「ゴロゴロ鳴る」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The checklist included the rumble at the end."
fiercely,激しく；猛烈に,「激しく」を表す語という仕方。動作・判断の程度や話し手の態度を補う。「猛烈」の意味もある。 ,"The machine ran fiercely after the repair."
bequeath,～を遺言で譲る,「遺言で譲る」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The crew will bequeath the sauce after the inspection."
resilience,回復力；弾力性,「へこんでも戻る力」を表す語。心・組織・材料の回復力に使う。「弾力性」の意味もある。 ,"The article linked resilience to climate change."
synopsis,概要,「概要」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The manual listed the synopsis under tools."
provocative,人を刺激する,「人を刺激する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The committee made a provocative decision."
repute,名声；評判,「名声」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「評判」の意味もある。 ,"The note explained the repute in plain words."
toughness,じょうぶさ,「じょうぶさ」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"Her essay connected toughness with daily life."
disdain,～を軽べつする,「軽べつする」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to disdain it during practice."
upheaval,激変；大混乱,「激変」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「大混乱」の意味もある。 ,"The team checked the upheaval before leaving."
hostess,女性の主催者；接客係,「女性の主催者」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「接客係」の意味もある。 ,"The hostess arrived early for the workshop."
ruthless,無慈悲な,「無慈悲な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a ruthless example."
conjure,魔法のように呼び出す,「魔法のように呼び出す」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The checklist included the conjure at the end."
sprawl,手足を伸ばす；広がる,「手足を伸ばす」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The sprawl arrived early for the workshop."
resilient,はね返る,「はね返る」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The coach praised a resilient effort."
sequel,続編；結果,「続編」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「結果」の意味もある。 ,"A photo showed the sequel beside the road."
premier,第一の；首相,「第一の」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「首相」の意味もある。 ,"The premier held a press conference."
prolific,多作の；実り多い,「多作の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「実り多い」の意味もある。 ,"The report noted a prolific pattern."
magnetism,磁気,「磁気」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The debate revealed magnetism after the vote."
numb,麻痺した,「麻痺した」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The editor marked a numb phrase."
timid,おくびょうな,「おくびょうな」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made a timid decision."
crumb,パンくず；少量,「パンくず」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「少量」の意味もある。 ,"The team checked the crumb before leaving."
waterfront,水辺；臨海地区,「水辺」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「臨海地区」の意味もある。 ,"Waterfront splashed against the rocks."
insensitive,鈍感な,「鈍感な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted an insensitive pattern."
deceit,欺くこと,「欺くこと」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The checklist included the deceit at the end."
grumble,不平をいう,「不平をいう」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The article described the grumble with an example."
bulky,かさばった,「かさばった」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The team chose a bulky route."
pigeon,ハト,「ハト」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"A photo showed the pigeon beside the road."
rudimentary,初歩的な；未発達の,「初歩的な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「未発達の」の意味もある。 ,"A rudimentary color filled the evening sky."
clan,氏族,「氏族」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report connected the clan to the case."
cynical,皮肉な,「皮肉な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The coach praised a cynical effort."
refreshing,爽やかな；気分を一新する,「爽やかな」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「気分を一新する」の意味もある。 ,"The calendar marked the refreshing in blue."
appalling,ぞっとするような,「ぞっとするような」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made an appalling decision."
stately,威厳のある,「威厳のある」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The boat drifted stately across the lake."
crave,～を切望する,「切望する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to crave it."
dismal,陰うつな,「陰うつな」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made a dismal decision."
instinctive,本能的な,「本能的な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"Her reaction was instinctive."
gem,宝石,「宝石」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The article described the gem with an example."
chilly,冷え冷えする,「冷え冷えする」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The morning was chilly."
elude,～を逃れる,「逃れる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to elude it."
clutter,～を取り散らかす,「取り散らかす」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"They decided to clutter it before noon."
fiddle,バイオリン,「バイオリン」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report connected the fiddle to the case."
woo,～に求愛する；支持を得ようとする,「求愛する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「支持を得ようとする」の意味もある。 ,"Please woo it after checking the instructions."
rapport,信頼関係；親密な関係,「信頼関係」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「親密な関係」の意味もある。 ,"The guide mentioned the rapport near the entrance."
desertion,放棄；脱走,「放棄」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「脱走」の意味もある。 ,"The speaker defined desertion with a simple example."
canoe,カヌー,「カヌー」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The team checked the canoe before leaving."
flattery,～へつらうこと,「つらうこと」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The visitor noticed the flattery near the doorway."
aquarium,水族館,「水族館」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The aquarium opened early for visitors."
