english,japanese,detail,sample
stagger,よろめく,「よろめく」を表す語。動作・判断の仕方や程度を添える。 ,"The presenter pointed to the stagger on the slide."
misleading,誤解を招く,「誤解を招く」を表す語。動作・判断の仕方や程度を添える。 ,"The checklist included the misleading at the end."
revolve,回転する,「回転する」を表す語。再び行う・元に戻す感覚がある。 ,"The article described the revolve with an example."
shatter,～を粉々に打ち砕く,「粉々に打ち砕く」を表す語。動作・判断の仕方や程度を添える。 ,"Workers learned to shatter it during practice."
foul,汚い,「汚い」を表す語。人・物・状況の性質を描く形容詞。 ,"The editor marked a foul phrase."
outsider,局外者,「局外者」を表す語。外へ出る・上回る感覚に広がる。 ,"The outsider arrived early for the workshop."
pneumonia,肺炎,「肺炎」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The report connected the pneumonia to the case."
literal,文字どおりの,「文字どおりの」を表す語。人・物・状況の性質を描く形容詞。 ,"The editor marked a literal phrase."
compassion,哀れみ,「哀れみ」を表す語。行為・結果・状態を表す名詞。 ,"The article linked compassion to climate change."
disappearance,消失,「消失」を表す語。行為・結果・状態を表す名詞。 ,"The speaker defined disappearance with a simple example."
wartime,戦時,「戦時」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The artist captured the wartime in the sketch."
contradictory,矛盾した,「矛盾した」を表す語。人・物・状況の性質を描く形容詞。 ,"The team chose a contradictory route."
intrusion,侵入・押しつけ,「侵入・押しつけ」を表す語。行為・結果・状態を表す名詞。 ,"Her essay connected intrusion with daily life."
offshore,沖合の・海外の,「沖合の・海外の」を表す語。人・物・状況の性質を描く形容詞。 ,"They built an offshore wind farm."
cube,立方体,「立方体」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"Cut the cheese into a cube."
patriotic,愛国の,「愛国の」を表す語。人・物・状況の性質を描く形容詞。 ,"The coach praised a patriotic effort."
flaw,割れ目,「割れ目」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The lawyer checked the flaw before court."
mansion,大邸宅,「大邸宅」を表す語。行為・結果・状態を表す名詞。 ,"The committee discussed mansion for an hour."
mortal,必ず死ぬ運命の,「必ず死ぬ運命の」を表す語。人・物・状況の性質を描く形容詞。 ,"The report noted a mortal pattern."
donate,～を寄贈する,「寄贈する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide showed us how to donate it."
manual,手作業の・説明書,「手作業の・説明書」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The guide suggested a manual method."
ridge,山の背,「山の背」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A field note described the ridge after the storm."
microscopy,顕微鏡使用,「顕微鏡使用」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The team checked the microscopy before leaving."
racism,人種差別,「人種差別」を表す語。性質・状態・考え方を表す抽象語。 ,"The racism arrived early for the workshop."
blaze,炎,「炎」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The presenter pointed to the blaze on the slide."
astronomy,天文学,「天文学」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The librarian set the astronomy near the entrance."
persistence,粘り強さ・持続,「粘り強さ・持続」を表す語。行為・結果・状態を表す名詞。 ,"The policy raised questions about persistence."
inventor,発明者,「発明者」を表す語。その役割・職業・立場の人を表す。 ,"A client asked about the inventor after lunch."
indifferent,関心のない,「関心のない」を表す語。否定・不足・反対状態を表す。 ,"The teacher chose an indifferent example."
bestow,～を授ける,「授ける」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide showed us how to bestow it."
injured,傷つけられた,「傷つけられた」を表す語。否定・不足・反対状態を表す。 ,"The committee made an injured decision."
decorative,装飾の,「装飾の」を表す語。人・物・状況の性質を描く形容詞。 ,"The team chose a decorative route."
preferable,いっそう望ましい,「いっそう望ましい」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The report noted a preferable pattern."
mint,ハッカ,「ハッカ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A diagram showed the mint clearly."
coincidence,同時発生,「同時発生」を表す語。行為・結果・状態を表す名詞。 ,"The study measured coincidence across three groups."
overthrow,～を倒す,「倒す」を表す語。基準を越える・上回る感覚が中心。 ,"Strong winds can overthrow trees."
theorist,理論家,「理論家」を表す語。その役割・職業・立場の人を表す。 ,"A client asked about the theorist after lunch."
venue,会場・開催地,「出来事が行われる場所」から、会場・開催地を表す。 ,"The venue opened early for visitors."
blink,まばたきする,「まばたきする」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The article described the blink with an example."
tread,～を踏む・歩く,「踏む・歩く」を表す語。動作・判断の仕方や程度を添える。 ,"The guide showed us how to tread it."
animate,～に生命を吹き込む・活気づける,「生命を吹き込む・活気づける」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Music can animate the scene."
unaware,気づかない,「気づかない」を表す語。否定・不足・反対状態を表す。 ,"She was unaware of the risk."
stitch,一針,「一針」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The report connected the stitch to the case."
scandal,不祥事・醜聞,「不祥事・醜聞」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The teacher chose a scandal example."
excel,～にまさる・秀でる,「まさる・秀でる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"She can excel at math."
moving,感動的な・動く,「感動的な・動く」を表す語。動作・判断の仕方や程度を添える。 ,"The committee made a moving decision."
exotic,外来の,「外来の」を表す語。人・物・状況の性質を描く形容詞。 ,"The teacher chose an exotic example."
translator,翻訳者,「翻訳者」を表す語。その役割・職業・立場の人を表す。 ,"The invoice listed the translator clearly."
reconsider,～を再考する,「再考する」を表す語。再び行う・元に戻す感覚がある。 ,"Workers learned to reconsider it during practice."
crab,カニ,「カニ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The checklist included the crab at the end."
trivial,ささいな,「ささいな」を表す語。人・物・状況の性質を描く形容詞。 ,"The guide suggested a trivial method."
explorer,探検家,「探検家」を表す語。その役割・職業・立場の人を表す。 ,"A client asked about the explorer after lunch."
patron,後援者,「後援者」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The patron arrived early for the workshop."
formidable,恐ろしい,「恐ろしい」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The room felt formidable after the announcement."
seminar,セミナー・研究会,「セミナー・研究会」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The report connected the seminar to the case."
reminder,思い出させるもの,「思い出させるもの」を表す語。人・物・状況の性質を描く形容詞。 ,"The coach praised a reminder effort."
startle,～を驚かせる,「驚かせる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The training video shows how to startle it safely."
addiction,中毒・依存,「中毒・依存」を表す語。行為・結果・状態を表す名詞。 ,"The committee discussed addiction for an hour."
amplify,～を拡大する,「拡大する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Workers learned to amplify it during practice."
bankrupt,破産した・破産者,「破産した・破産者」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The bankrupt arrived early for the workshop."
vigorously,精力的に,「精力的に」を表す語。動作・判断の仕方や程度を添える。 ,"The door closed vigorously behind us."
authoritative,信頼すべき,「信頼すべき」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The team chose an authoritative route."
ash,灰・火山灰,「灰・火山灰」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A field note described the ash after the storm."
distract,～の注意をそらす,「注意をそらす」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Noise can distract students."
novelty,新奇さ,「新奇さ」を表す語。性質・状態・考え方を表す抽象語。 ,"The editor marked a novelty phrase."
tutor,家庭教師・講師,「家庭教師・講師」を表す語。その役割・職業・立場の人を表す。 ,"The invoice listed the tutor clearly."
spokesman,スポークスマン,「スポークスマン」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The report connected the spokesman to the case."
cruelty,残酷,「残酷」を表す語。性質・状態・考え方を表す抽象語。 ,"The editor marked a cruelty phrase."
hospitality,親切なもてなし,「親切なもてなし」を表す語。性質・状態・考え方を表す抽象語。 ,"A hospitality result changed the treatment."
excursion,小旅行,「小旅行」を表す語。行為・結果・状態を表す名詞。 ,"The excursion lasted all day."
straighten,～をまっすぐにする,「まっすぐにする」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"They decided to straighten it before noon."
radiate,光を放つ,「光を放つ」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The visitor noticed the radiate near the doorway."
ballet,バレエ,「バレエ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The presenter pointed to the ballet on the slide."
admirable,賞賛に値する,「賞賛に値する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The teacher chose an admirable example."
passionate,情熱的な,「情熱的な」を表す語。人・物・状況の性質を描く形容詞。 ,"The editor marked a passionate phrase."
paralysis,麻痺,「麻痺」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The teacher asked about the paralysis after class."
gleam,きらめき,「きらめき」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A photo showed the gleam beside the road."
gateway,出入口,「出入口」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The manual listed the gateway under tools."
quantify,～を数量化する,「数量化する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Workers learned to quantify it during practice."
rug,敷き物,「敷き物」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The note explained the rug in plain words."
slap,平手打ち・～を平手で打つ,「平手打ち・を平手で打つ」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The slap arrived early for the workshop."
addict,中毒者・～を夢中にさせる,「中毒者・を夢中にさせる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The addict arrived early for the workshop."
irritation,いらだち,「いらだち」を表す語。行為・結果・状態を表す名詞。 ,"Her essay connected irritation with daily life."
optimistic,楽観的な,「楽観的な」を表す語。人・物・状況の性質を描く形容詞。 ,"She is optimistic about the future."
harmless,無害の,「無害の」を表す語。人・物・状況の性質を描く形容詞。 ,"The coach praised a harmless effort."
thoughtful,思いやりのある,「思いやりのある」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The coach praised a thoughtful effort."
intravenous,静脈内の,「静脈内の」を表す語。否定・不足・反対状態を表す。 ,"The teacher chose an intravenous example."
ranger,森林警備員・レンジャー,「森林警備員・レンジャー」を表す語。その役割・職業・立場の人を表す。 ,"A client asked about the ranger after lunch."
leaflet,ちらし,「ちらし」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A photo showed the leaflet beside the road."
trainee,訓練を受けている人,「訓練を受けている人」を表す語。その役割・職業・立場の人を表す。 ,"The invoice listed the trainee clearly."
scarlet,緋色,「緋色」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The driver checked the scarlet before departure."
lawsuit,訴訟,「訴訟」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The lawyer checked the lawsuit before court."
juror,陪審員,「陪審員」を表す語。その役割・職業・立場の人を表す。 ,"The invoice listed the juror clearly."
duplication,複製・重複,「複製・重複」を表す語。行為・結果・状態を表す名詞。 ,"The debate revealed duplication after the vote."
gambling,ギャンブル・賭け事,「ギャンブル・賭け事」を表す語。行為・結果・状態を表す名詞。 ,"The team checked the gambling before leaving."
nightmare,悪夢,「悪夢」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The visitor noticed the nightmare near the doorway."
pirate,海賊,「海賊」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A field note described the pirate after the storm."
detach,～を引き離す,「引き離す」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Please detach it after checking the instructions."
liner,定期船,「定期船」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The guide marked the liner on the map."
chemotherapy,化学療法,「化学療法」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The teacher asked about the chemotherapy after class."
misfortune,不運,「不運」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A photo showed the misfortune beside the road."
zip,ジッという音・ファスナー,「ジッという音・ファスナー」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The critic discussed the zip after the concert."
swift,速い,「速い」を表す語。人・物・状況の性質を描く形容詞。 ,"The report noted a swift pattern."
righteousness,正義,「正義」を表す語。性質・状態・考え方を表す抽象語。 ,"The lawyer found a righteousness clause."
prominence,目立つこと・突出部,「目立つこと・突出部」を表す語。行為・結果・状態を表す名詞。 ,"The study measured prominence across three groups."
elective,選択制の・選挙で選ばれた,「選択制の・選挙で選ばれた」を表す語。人・物・状況の性質を描く形容詞。 ,"The committee made an elective decision."
outrage,激怒・暴挙,「激怒・暴挙」を表す語。外へ出る・上回る感覚に広がる。 ,"Her voice carried a hint of outrage."
villager,村人,「村人」を表す語。その役割・職業・立場の人を表す。 ,"The invoice listed the villager clearly."
amuse,～を楽しませる,「楽しませる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Workers learned to amuse it during practice."
console,～を慰める,「慰める」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide showed us how to console it."
massacre,大虐殺,「大虐殺」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The article described the massacre with an example."
rag,布切れ,「布切れ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The teacher asked about the rag after class."
thermometer,温度計,「温度計」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A photo showed the thermometer beside the road."
eastward,～東へ,「東へ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The path turned eastward near the cliff."
toll,通行料・犠牲者数・鐘が鳴る,「通行料・犠牲者数・鐘が鳴る」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The toll arrived early for the workshop."
mastery,熟達・支配,「熟達・支配」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The note explained the mastery in plain words."
loosely,緩く,「緩く」を表す語。動作・判断の仕方や程度を添える。 ,"The machine ran loosely after the repair."
pastoral,羊飼いの,「羊飼いの」を表す語。人・物・状況の性質を描く形容詞。 ,"The committee made a pastoral decision."
morally,道徳的に,「道徳的に」を表す語。動作・判断の仕方や程度を添える。 ,"The boat drifted morally across the lake."
proponent,提唱者・支持者,「提唱者・支持者」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The proponent arrived early for the meeting."
ideally,理想的に,「理想的に」を表す語。動作・判断の仕方や程度を添える。 ,"The door closed ideally behind us."
ramp,傾斜路・ランプ,「斜めに上げ下げする道」から、増減させる動きにも広がる。 ,"The checklist included the ramp at the end."
radically,根本的に,「根本的に」を表す語。動作・判断の仕方や程度を添える。 ,"The team worked radically through the night."
quarantine,隔離,「隔離」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The teacher asked about the quarantine after class."
tub,おけ,「おけ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A photo showed the tub beside the road."
smash,～を粉々にする,「粉々にする」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"They decided to smash it before noon."
supernatural,超自然の,「超自然の」を表す語。人・物・状況の性質を描く形容詞。 ,"A supernatural wind moved through the trees."
slam,～をピシャリと閉める,「ピシャリと閉める」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Please slam it after checking the instructions."
entrepreneur,企業家,「企業家」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The entrepreneur arrived early for the workshop."
grim,険しい,「険しい」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The coach praised a grim effort."
cheat,～をだます,「だます」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Experts know how to cheat the sauce safely."
repression,抑圧・鎮圧,「抑圧・鎮圧」を表す語。行為・結果・状態を表す名詞。 ,"The lecture explored repression through real cases."
hesitation,ためらい,「ためらい」を表す語。行為・結果・状態を表す名詞。 ,"Her essay connected hesitation with daily life."
