id,english,japanese,detail,sample,sample-jpn
c1-part1-0012,contractor,契約人,「契約人」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The contractor arrived early for the workshop.",c1-part1-0012_例文の日本語訳
c1-part1-0013,linear,線の,「線の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made a linear decision.",c1-part1-0013_例文の日本語訳
c1-part1-0014,specification,仕様；明細,「仕様」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「明細」の意味もある。 ,"The policy raised questions about specification.",c1-part1-0014_例文の日本語訳
c1-part1-0015,magnetic,磁石の,「磁石の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made a magnetic decision.",c1-part1-0015_例文の日本語訳
c1-part1-0016,thereby,それによって,「それによって」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The presenter pointed to the thereby on the slide.",c1-part1-0016_例文の日本語訳
c1-part1-0017,vertical,垂直の,「垂直の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The room had a vertical feeling.",c1-part1-0017_例文の日本語訳
c1-part1-0018,coverage,報道；対象範囲,「覆う範囲」を表す語。報道範囲・保険対象・通信範囲にも使う。「対象範囲」の意味もある。 ,"The article described the coverage with an example.",c1-part1-0018_例文の日本語訳
c1-part1-0019,con,反対論；短所,「反対論」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「短所」の意味もある。 ,"The teacher asked about the con after class.",c1-part1-0019_例文の日本語訳
c1-part1-0020,corps,部隊；団体,「部隊」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「団体」の意味もある。 ,"The medical corps arrived quickly.",c1-part1-0020_例文の日本語訳
c1-part1-0021,isolate,～を孤立させる,「孤立させる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to isolate it during practice.",c1-part1-0021_例文の日本語訳
c1-part1-0022,premise,前提,「前提」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report connected the premise to the case.",c1-part1-0022_例文の日本語訳
c1-part1-0023,compliance,遵守；従うこと,「決まりに従うこと」を表す語。法令・規格・社内ルールで多い。「遵守」の意味もある。 ,"A short story illustrated compliance clearly.",c1-part1-0023_例文の日本語訳
c1-part1-0024,substantially,かなり；実質的に,「かなり」を表す語という仕方。動作・判断の程度や話し手の態度を補う。「実質的」の意味もある。 ,"The machine ran substantially after the repair.",c1-part1-0024_例文の日本語訳
c1-part1-0025,conviction,確信,「強く信じること」を表す語。有罪判決の意味にも注意。 ,"The committee discussed conviction for an hour.",c1-part1-0025_例文の日本語訳
c1-part1-0026,fraction,一部；分数,「全体の小さな一部」を表す語。数学では分数も表す。 ,"The article linked fraction to climate change.",c1-part1-0026_例文の日本語訳
c1-part1-0027,duration,持続,「持続」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The speaker defined duration with a simple example.",c1-part1-0027_例文の日本語訳
c1-part1-0028,comply,従う,「従う」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The door closed comply behind us.",c1-part1-0028_例文の日本語訳
c1-part1-0029,circulation,血液の循環,「血液の循環」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The lecture explored circulation through real cases.",c1-part1-0029_例文の日本語訳
c1-part1-0030,sacrifice,犠牲；～を犠牲にする,「犠牲」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「犠牲にする」の意味もある。 ,"The article described the sacrifice with an example.",c1-part1-0030_例文の日本語訳
c1-part1-0031,advisory,勧告の,「勧告の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted an advisory pattern.",c1-part1-0031_例文の日本語訳
c1-part1-0032,tract,広大な土地；管,「広大な土地」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「管」の意味もある。 ,"The farmer owns a large tract of land.",c1-part1-0032_例文の日本語訳
c1-part1-0033,constraint,制約,「制約」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A shadow covered the constraint by the river.",c1-part1-0033_例文の日本語訳
c1-part1-0034,voluntary,自発的な,「自発的な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a voluntary example.",c1-part1-0034_例文の日本語訳
c1-part1-0035,dominant,支配的な,「支配的な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The editor marked a dominant phrase.",c1-part1-0035_例文の日本語訳
c1-part1-0036,discourse,談話；論説,「まとまった言葉の流れ」を表す語。議論・談話・論説に使う。 ,"Academic discourse can be difficult.",c1-part1-0036_例文の日本語訳
c1-part1-0037,compel,～に強いる,「強いる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to compel it.",c1-part1-0037_例文の日本語訳
c1-part1-0038,suspension,停止；一時中断,「停止」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「一時中断」の意味もある。 ,"The survey tracked suspension over several years.",c1-part1-0038_例文の日本語訳
c1-part1-0039,diversity,多様性,「多様性」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The lecture explored diversity through real cases.",c1-part1-0039_例文の日本語訳
c1-part1-0040,organizational,組織上の,「組織上の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted an organizational pattern.",c1-part1-0040_例文の日本語訳
c1-part1-0041,integral,不可欠な；一体の,「全体に組み込まれ不可欠」を表す語。数学の積分にも使う。意味は「不可欠な」・「一体の」などに分かれる。 ,"The teacher chose an integral example.",c1-part1-0041_例文の日本語訳
c1-part1-0042,occupational,職業の,「職業の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"Occupational safety is important.",c1-part1-0042_例文の日本語訳
c1-part1-0043,crude,未加工の；粗雑な,「未精製・粗い」を表す語。原油、粗雑な態度の両方に使う。「未加工の」の意味もある。 ,"The remark was crude.",c1-part1-0043_例文の日本語訳
c1-part1-0044,transit,輸送；通過,「輸送」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「通過」の意味もある。 ,"The goods are still in transit.",c1-part1-0044_例文の日本語訳
c1-part1-0045,consultation,相談,「相談」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The committee discussed consultation for an hour.",c1-part1-0045_例文の日本語訳
c1-part1-0046,peasant,小作農；農民,「小作農」を表す語という具体的対象。人・物・場所などを直接指す語。「農民」の意味もある。 ,"The report noted a peasant pattern.",c1-part1-0046_例文の日本語訳
c1-part1-0047,juvenile,少年の；未熟な,「少年の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「未熟な」の意味もある。 ,"The room had a juvenile feeling.",c1-part1-0047_例文の日本語訳
c1-part1-0048,elevation,高度；上昇,「高度」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「上昇」の意味もある。 ,"The survey tracked elevation over several years.",c1-part1-0048_例文の日本語訳
c1-part1-0049,inclusion,中に含めること,「中に含めること」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"Inclusion matters in every classroom.",c1-part1-0049_例文の日本語訳
c1-part1-0050,notwithstanding,～にもかかわらず,「かかわらず」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Notwithstanding the rain, we continued.",c1-part1-0050_例文の日本語訳
c1-part1-0051,pioneer,開拓者,「開拓者」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The pioneer arrived early for the workshop.",c1-part1-0051_例文の日本語訳
c1-part1-0052,restoration,復元；回復,「復元」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「回復」の意味もある。 ,"The study measured restoration across three groups.",c1-part1-0052_例文の日本語訳
c1-part1-0053,formulate,～を明確に表す；策定する,「明確に表す」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「策定する」の意味もある。 ,"They decided to formulate it before noon.",c1-part1-0053_例文の日本語訳
c1-part1-0054,elaborate,入念な；詳しく述べる,「入念な」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「詳しく述べる」の意味もある。 ,"The article described the elaborate with an example.",c1-part1-0054_例文の日本語訳
c1-part1-0055,ethical,倫理の,「倫理の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made an ethical decision.",c1-part1-0055_例文の日本語訳
c1-part1-0056,elevate,～を上げる,「上げる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to elevate it during practice.",c1-part1-0056_例文の日本語訳
c1-part1-0057,convict,～に有罪を宣告する,「有罪を宣告する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to convict it.",c1-part1-0057_例文の日本語訳
c1-part1-0058,verdict,評決,「評決」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report connected the verdict to the case.",c1-part1-0058_例文の日本語訳
c1-part1-0059,conform,一致する；従う,「一致する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「従う」の意味もある。 ,"The note explained the conform in plain words.",c1-part1-0059_例文の日本語訳
c1-part1-0060,marginal,周辺の；わずかな,「周辺の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「わずかな」の意味もある。 ,"The report noted a marginal pattern.",c1-part1-0060_例文の日本語訳
c1-part1-0061,depict,～を描き表す,「描き表す」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to depict it during practice.",c1-part1-0061_例文の日本語訳
c1-part1-0062,cavity,空洞；虫歯,「空洞」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「虫歯」の意味もある。 ,"The cavity moved quietly.",c1-part1-0062_例文の日本語訳
c1-part1-0063,precision,正確,「正確」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"A short story illustrated precision clearly.",c1-part1-0063_例文の日本語訳
c1-part1-0064,prophet,預言者,「預言者」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The prophet warned the people.",c1-part1-0064_例文の日本語訳
c1-part1-0065,inherent,本来の,「本来の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The plan has inherent risks.",c1-part1-0065_例文の日本語訳
c1-part1-0066,oblige,～に義務を負わせる,「義務を負わせる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"They learned to oblige the contract during training.",c1-part1-0066_例文の日本語訳
c1-part1-0067,citation,引用,「引用」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The speaker defined citation with a simple example.",c1-part1-0067_例文の日本語訳
c1-part1-0068,estimation,推定；評価,「推定」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「評価」の意味もある。 ,"The survey tracked estimation over several years.",c1-part1-0068_例文の日本語訳
c1-part1-0069,scenario,シナリオ,「シナリオ」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The manual listed the scenario under tools.",c1-part1-0069_例文の日本語訳
c1-part1-0070,sentiment,感情,「感情」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The speech expressed a warm sentiment.",c1-part1-0070_例文の日本語訳
c1-part1-0071,succession,連続,「連続」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The debate revealed succession after the vote.",c1-part1-0071_例文の日本語訳
c1-part1-0072,subordinate,下位の,「下位の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The editor marked a subordinate phrase.",c1-part1-0072_例文の日本語訳
c1-part1-0073,vegetation,植物,「植物」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"A short story illustrated vegetation clearly.",c1-part1-0073_例文の日本語訳
c1-part1-0074,testament,証拠；遺言；聖書,「証拠」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「遺言」・「聖書」の意味もある。 ,"The old building is a testament to their skill.",c1-part1-0074_例文の日本語訳
c1-part1-0075,synthetic,合成の；総合的な,「合成の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「総合的な」の意味もある。 ,"The committee made a synthetic decision.",c1-part1-0075_例文の日本語訳
c1-part1-0076,retention,保持,「保持」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The article linked retention to climate change.",c1-part1-0076_例文の日本語訳
c1-part1-0077,rotate,回転する,「回転する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Rotate the handle clockwise.",c1-part1-0077_例文の日本語訳
c1-part1-0078,expire,満了する,「満了する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"My passport will expire next month.",c1-part1-0078_例文の日本語訳
c1-part1-0079,fatigue,疲労；金属疲労,「疲労」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「金属疲労」の意味もある。 ,"The teacher asked about the fatigue after class.",c1-part1-0079_例文の日本語訳
c1-part1-0080,exert,～を発揮する,「発揮する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Please exert it after checking the instructions.",c1-part1-0080_例文の日本語訳
c1-part1-0081,circulate,循環する,「循環する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Please circulate the memo to everyone.",c1-part1-0081_例文の日本語訳
c1-part1-0082,prospective,見込みの；将来の,「見込みの」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「将来の」の意味もある。 ,"The coach praised a prospective effort.",c1-part1-0082_例文の日本語訳
c1-part1-0083,collaboration,協力；共同作業,「協力」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「共同作業」の意味もある。 ,"A short story illustrated collaboration clearly.",c1-part1-0083_例文の日本語訳
c1-part1-0084,profound,深遠な,「深遠な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a profound example.",c1-part1-0084_例文の日本語訳
c1-part1-0085,elastic,弾力のある,「弾力のある」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made an elastic decision.",c1-part1-0085_例文の日本語訳
c1-part1-0086,inclusive,全部を含んだ,「全部を含んだ」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The teacher chose an inclusive example.",c1-part1-0086_例文の日本語訳
c1-part1-0087,buffer,緩衝材；緩衝するもの,「緩衝材」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「緩衝するもの」の意味もある。 ,"The room had a buffer feeling.",c1-part1-0087_例文の日本語訳
c1-part1-0088,induction,導入；誘導；就任,「中へ導き入れる」を表す語。就任・誘導・帰納法にも広がる。「導入」の意味もある。 ,"The survey tracked induction over several years.",c1-part1-0088_例文の日本語訳
c1-part1-0089,notable,注目に値する,「注目に値する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The team chose a notable route.",c1-part1-0089_例文の日本語訳
c1-part1-0090,continuity,連続,「連続」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"Her essay connected continuity with daily life.",c1-part1-0090_例文の日本語訳
c1-part1-0091,obscure,はっきりしない,「はっきりしない」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The guide suggested an obscure method.",c1-part1-0091_例文の日本語訳
c1-part1-0092,assertion,断言,「断言」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The study measured assertion across three groups.",c1-part1-0092_例文の日本語訳
c1-part1-0093,fossil,化石,「化石」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The manual listed the fossil under tools.",c1-part1-0093_例文の日本語訳
c1-part1-0094,likelihood,ありそうなこと,「ありそうなこと」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The policy raised questions about likelihood.",c1-part1-0094_例文の日本語訳
c1-part1-0095,fusion,溶けること,「溶けること」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The committee discussed fusion for an hour.",c1-part1-0095_例文の日本語訳
c1-part1-0096,carpenter,大工,「大工」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The driver checked the carpenter before departure.",c1-part1-0096_例文の日本語訳
c1-part1-0097,preach,説教する,「説教する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The priest will preach on Sunday.",c1-part1-0097_例文の日本語訳
c1-part1-0098,principally,主として,「主として」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The door closed principally behind us.",c1-part1-0098_例文の日本語訳
c1-part1-0099,salvation,救済,「救済」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The lecture explored salvation through real cases.",c1-part1-0099_例文の日本語訳
c1-part1-0100,inheritance,相続；遺産,「相続」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「遺産」の意味もある。 ,"Her essay connected inheritance with daily life.",c1-part1-0100_例文の日本語訳
c1-part1-0101,hostile,敵の,「敵の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a hostile example.",c1-part1-0101_例文の日本語訳
c1-part1-0102,concur,同意見である,「同意見である」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The editor marked a concur phrase.",c1-part1-0102_例文の日本語訳
c1-part1-0103,ordinarily,たいてい,「たいてい」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The guard moved ordinarily along the hallway.",c1-part1-0103_例文の日本語訳
c1-part1-0104,degradation,低下；劣化,「低下」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「劣化」の意味もある。 ,"The policy raised questions about degradation.",c1-part1-0104_例文の日本語訳
c1-part1-0105,exploitation,搾取；活用,「搾取」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「活用」の意味もある。 ,"The committee discussed exploitation for an hour.",c1-part1-0105_例文の日本語訳
c1-part1-0106,pertinent,関連する；適切な,「関連する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「適切な」の意味もある。 ,"The report noted a pertinent pattern.",c1-part1-0106_例文の日本語訳
c1-part1-0107,hostility,敵意,「敵意」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The speaker defined hostility with a simple example.",c1-part1-0107_例文の日本語訳
c1-part1-0108,predecessor,前任者,「前任者」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The predecessor arrived early for the workshop.",c1-part1-0108_例文の日本語訳
c1-part1-0109,aesthetic,美的な；美学の,「美的な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「美学の」の意味もある。 ,"The design has aesthetic value.",c1-part1-0109_例文の日本語訳
c1-part1-0110,spontaneous,自然に起こる,「自然に起こる」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"Hikers noticed the spontaneous near the trail.",c1-part1-0110_例文の日本語訳
c1-part1-0111,customary,慣例の；習慣的な,「慣例の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「習慣的な」の意味もある。 ,"A customary color filled the evening sky.",c1-part1-0111_例文の日本語訳
c1-part1-0112,immense,巨大な,「巨大な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The coach praised an immense effort.",c1-part1-0112_例文の日本語訳
c1-part1-0113,peninsula,半島,「半島」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The checklist included the peninsula at the end.",c1-part1-0113_例文の日本語訳
c1-part1-0114,simplicity,簡単,「簡単」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The simplicity opened early for visitors.",c1-part1-0114_例文の日本語訳
c1-part1-0115,trauma,外傷,「外傷」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The teacher asked about the trauma after class.",c1-part1-0115_例文の日本語訳
c1-part1-0116,legacy,遺産,「遺産」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The article linked legacy to climate change.",c1-part1-0116_例文の日本語訳
c1-part1-0117,maternal,母の；母性的な,「母の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「母性的な」の意味もある。 ,"The room had a maternal feeling.",c1-part1-0117_例文の日本語訳
c1-part1-0118,purity,純粋であること,「純粋であること」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The lab tested the water’s purity.",c1-part1-0118_例文の日本語訳
c1-part1-0119,orchard,果樹園,「果樹園」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The note explained the orchard in plain words.",c1-part1-0119_例文の日本語訳
c1-part1-0120,fixture,備品；固定設備,「備品」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「固定設備」の意味もある。 ,"The lamp is a permanent fixture in the room.",c1-part1-0120_例文の日本語訳
c1-part1-0121,descent,下降；血統,「下降」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「血統」の意味もある。 ,"The report noted a descent pattern.",c1-part1-0121_例文の日本語訳
c1-part1-0122,speculation,推測,「推測」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The study measured speculation across three groups.",c1-part1-0122_例文の日本語訳
c1-part1-0123,ventilation,換気,「換気」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"A short story illustrated ventilation clearly.",c1-part1-0123_例文の日本語訳
c1-part1-0124,anthropology,人類学,「人類学」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"She studied anthropology at university.",c1-part1-0124_例文の日本語訳
c1-part1-0125,apt,～しがちな；適切な,「しがちな」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「適切な」の意味もある。 ,"The editor marked an apt phrase.",c1-part1-0125_例文の日本語訳
c1-part1-0126,clutch,～をぐいとつかむ,「ぐいとつかむ」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to clutch it during practice.",c1-part1-0126_例文の日本語訳
c1-part1-0127,conditional,条件つきの,「条件つきの」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The coach praised a conditional effort.",c1-part1-0127_例文の日本語訳
c1-part1-0128,portable,持ち運びのできる,「持ち運びのできる」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The sign gave a portable warning.",c1-part1-0128_例文の日本語訳
c1-part1-0129,flourish,栄える,「栄える」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Small businesses flourish in this town.",c1-part1-0129_例文の日本語訳
c1-part1-0130,manipulation,巧妙な扱い,「巧妙な扱い」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The class found a manipulation pattern in the story.",c1-part1-0130_例文の日本語訳
c1-part1-0131,discard,～を捨てる,「捨てる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to discard it during practice.",c1-part1-0131_例文の日本語訳
c1-part1-0132,portray,～を絵で描く,「絵で描く」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to portray it.",c1-part1-0132_例文の日本語訳
c1-part1-0133,quest,探求,「探求」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A diagram showed the quest clearly.",c1-part1-0133_例文の日本語訳
c1-part1-0134,seedling,実生の若木,「実生の若木」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"Hikers noticed the seedling near the trail.",c1-part1-0134_例文の日本語訳
c1-part1-0135,recess,休み,「休み」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The visitor noticed the recess near the doorway.",c1-part1-0135_例文の日本語訳
c1-part1-0136,appliance,器具,「器具」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The article linked appliance to climate change.",c1-part1-0136_例文の日本語訳
c1-part1-0137,exterior,外の,「外の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The room had an exterior feeling.",c1-part1-0137_例文の日本語訳
c1-part1-0138,conformity,～との相似,「相似」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The survey tracked conformity over several years.",c1-part1-0138_例文の日本語訳
c1-part1-0139,provoke,～を怒らせる,「怒らせる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The training video shows how to provoke it safely.",c1-part1-0139_例文の日本語訳
c1-part1-0140,adjoin,～に隣接する,「隣接する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Please adjoin it after checking the instructions.",c1-part1-0140_例文の日本語訳
c1-part1-0141,uniformity,一定,「一定」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The debate revealed uniformity after the vote.",c1-part1-0141_例文の日本語訳
c1-part1-0142,injustice,不正,「不正」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report connected the injustice to the case.",c1-part1-0142_例文の日本語訳
c1-part1-0143,graft,接ぎ木；移植；汚職,「接ぎ木」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「移植」・「汚職」の意味もある。 ,"Hikers noticed the graft near the trail.",c1-part1-0143_例文の日本語訳
c1-part1-0144,antiquity,古代；古物,「古代」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「古物」の意味もある。 ,"The policy raised questions about antiquity.",c1-part1-0144_例文の日本語訳
c1-part1-0145,evoke,～を呼び出す,「呼び出す」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Please evoke it after checking the instructions.",c1-part1-0145_例文の日本語訳
c1-part1-0146,superficial,表面の,「表面の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a superficial example.",c1-part1-0146_例文の日本語訳
c1-part1-0147,amateur,アマチュア；素人,「アマチュア」を表す語という具体的対象。人・物・場所などを直接指す語。「素人」の意味もある。 ,"An amateur photographer took the picture.",c1-part1-0147_例文の日本語訳
c1-part1-0148,mutually,相互に,「相互に」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The door closed mutually behind us.",c1-part1-0148_例文の日本語訳
